EVENTTYPESEQ	COMPENSATIONDATE	ISRUNNABLE	PRODUCTNAME	GENERICATTRIBUTE1	VALUE
"""8705"""	01-01-2003 00:00	1	Monaco	WellCare	90
8709	01-01-2003 00:00	1	Adjustments	Adjustment	170
8705	01-01-2003 00:00	1	Litmos	Guido VAN DE LUITGAARDEN	588
8705	01-01-2003 00:00	1	Maintenance	HSBC Hong Kong	10000
9182	01-01-2003 00:00	1	Maintenance	HSBC Hong Kong	500000
8705	01-01-2003 00:00	1	Webcom	Atlas Copco MultiBrand	141504
8881	01-01-2003 00:00	1	Services	ADT Fire & Security Plc - UK	7894
8705	01-01-2003 00:00	1	Litmos	Kate Mercer	1188
8705	01-01-2003 00:00	1	Litmos	Mark  Armstrong	588
8705	01-01-2003 00:00	1	Litmos	Max Reiman	1188
8881	01-01-2003 00:00	1	Services	Infovista	9645
8705	01-01-2003 00:00	1	Maintenance	Wellpoint	11209
9182	01-01-2003 00:00	1	Maintenance	Wellpoint	555453
8705	01-01-2003 00:00	1	Webcom	Technodomus S.A. de C.V.	6720
8881	01-01-2003 00:00	1	Services	Technodomus S.A. de C.V.	15000
8881	01-01-2003 00:00	1	Training	Technodomus S.A. de C.V.	1200
8705	01-01-2003 00:00	1	Maintenance	Asuransi Jiwa Generali Indonesia	300
9182	01-01-2003 00:00	1	Maintenance	Asuransi Jiwa Generali Indonesia	6000
8881	01-01-2003 00:00	1	Services	Technodomus S.A. de C.V.	15000
8881	01-01-2003 00:00	1	Webcom	"PAS, Inc"	2160
8881	01-01-2003 00:00	1	Webcom	Infovista	9780
8881	01-01-2003 00:00	1	Webcom	Trinet	50000
8881	01-01-2003 00:00	1	Webcom	Trinet	13800
8981	01-01-2003 00:00	1	Monaco	Lexis Nexis Group	195000
8881	01-01-2003 00:00	1	Services	IBM India	90000
9185	09-30-2004 00:00:00	1	Webcom	Medical Card Systems	0
8705	09-30-2004 00:00:00	1	Maintenance	Medical Card Systems	0
8881	09-30-2004 00:00:00	1	Services	Medical Card Systems	0
8982	09-30-2004 00:00:00	1	iCentera	Telus	0
8705	01-01-2007 00:00	1	Rapid Intake	Apple	115
8705	01-01-2007 00:00	1	Training	Oriental	90
8881	01-01-2007 00:00	1	Services	Aztech	90
8705	01-01-2007 00:00	1	Litmos		120
8705	01-01-2007 00:00	1	Training		200
8705	01-01-2007 00:00	1	Services		90
8705	01-01-2007 00:00	1	Litmos		200
8881	01-01-2007 00:00	1	Services		200
8881	01-01-2007 00:00	1	Monaco		200
8982	01-01-2007 00:00	1	Maint.Renewal	Wellpoint	555453
8982	01-01-2007 00:00	1	Maint.Renewal	HSBC Hong Kong	500000
8705	01-01-2007 00:00	1	BPO	Covad Communications Company	800
8981	01-30-2012 00:00:00	1	Monaco	American Airlines	0
8705	02-28-2012 00:00:00	1	BPO	Vivo SA	0
8982	01-01-2013 00:00	0	Monaco	Infoglobo Communicacao S.A.	0
9182	01-01-2013 00:00	0	Maintenance	Asuransi Jiwa Generali Indonesia	6000
8705	01-01-2013 00:00	0	Maintenance	Asuransi Jiwa Generali Indonesia	300
8705	01-02-2013 00:00	0	Rapid Intake	Discover Financial Services	4598
8881	01-07-2013 00:00	0	Maintenance	AIA China	30000
8982	01-10-2013 00:00	0	Monaco	Affymax	36463
8982	01-10-2013 00:00	0	Monaco	Affymax	48553
9182	01-14-2013 00:00:00	0	Maintenance	Asuransi Jiwa Generali Indonesia	10200
8705	01-15-2013 00:00:00	0	Maintenance	HSBC Hong Kong	10000
9182	01-15-2013 00:00:00	0	Maintenance	HSBC Hong Kong	500000
